"Question_Number","Resolution_Date","SciCast_Brier_Score","ULinop_Brier_Score","Number_of_Users","Number_of_Forecasts","Number_of_Comments"
"475",2014-07-25 00:00:00,0.00536442053798128,2,25,61,0
"476",2014-07-25 00:00:00,0.0666860205328805,2,25,71,2
"477",2014-07-25 00:00:00,0.00245328376597473,2,25,84,1
"478",2014-07-25 00:00:00,0.0367676834675146,2,22,67,2
"479",2014-07-25 00:00:00,0.00507487174309581,2,26,72,3
"48",2014-11-17 14:31:36,0.0319670219634942,2,40,173,4
"480",2014-07-25 00:00:00,0.0826989885965076,2,27,72,0
"481",2014-07-25 00:00:00,0.0152349001975371,2,23,69,1
"482",2014-07-25 00:00:00,0.00364764702983534,2,25,65,1
"485",2014-07-25 00:00:00,0.00225286301291975,2,25,66,1
"486",2014-07-25 00:00:00,0.0067552032202304,2,24,72,0
"487",2014-07-25 00:00:00,0.00961827140121101,2,23,70,1
"488",2014-07-25 00:00:00,0.00368880330737548,2,24,72,2
"489",2014-07-25 00:00:00,0.00437957230659788,2,74,134,0
"490",2014-07-25 00:00:00,0.0279021814865339,2,24,69,2
"491",2014-07-25 00:00:00,0.0200732432993031,2,26,71,2
"492",2014-07-25 00:00:00,0.163426068473809,2,26,77,0
"493",2014-07-25 00:00:00,0.00212848330005523,2,24,68,1
"494",2014-07-25 00:00:00,0.0605178662395367,2,27,74,0
"495",2014-07-25 00:00:00,0.0110404742250999,2,24,83,2
"496",2014-06-02 00:00:00,0.275370178369747,2,7,12,7
"497",2014-07-25 00:00:00,0.0376171929018621,2,23,72,1
"498",2014-07-25 00:00:00,0.00512881599283432,2,26,80,1
"499",2014-07-25 00:00:00,0.0459643631685025,2,25,69,3
"500",2014-07-25 00:00:00,0.128970476665249,2,24,70,1
"501",2014-07-25 00:00:00,0.0439231514740138,2,26,73,2
"502",2014-07-25 00:00:00,0.114474153619129,2,24,65,2
"503",2014-07-25 00:00:00,0.0121175484979031,2,22,61,1
"504",2014-07-25 00:00:00,0.0190142544375019,2,24,69,0
"505",2014-07-25 00:00:00,0.00852914342080467,2,21,67,2
"506",2014-10-02 00:00:00,0.119852211112282,2,44,273,7
"507",2014-08-01 00:00:00,0.652295715228352,2,44,103,3
"509",2014-07-31 00:00:00,0.3247453341085,2,32,79,3
"51",2013-12-25 00:00:00,0.928393213666346,2,4,10,3
"510",2014-04-29 23:00:00,0.33120834180701,2,14,25,1
"511",2014-12-01 00:00:00,0.136683333309822,2,33,86,3
"512",2014-07-25 00:00:00,0.00504477866180106,2,23,70,0
"513",2014-07-25 00:00:00,0.00175765038567833,2,28,76,2
"514",2014-07-25 00:00:00,0.0381842909121233,2,26,73,0
"515",2014-07-25 00:00:00,0.00285178182099027,2,25,62,0
"516",2014-07-25 00:00:00,0.00873263392832049,2,24,72,0
"517",2014-07-25 00:00:00,0.149790407222934,2,24,72,1
"518",2014-07-25 00:00:00,0.0334445156045082,2,23,66,1
"519",2014-07-25 00:00:00,0.0222759747850469,2,20,57,0
"52",2013-12-25 00:00:00,0.655042101516899,2,18,30,3
"520",2014-07-25 00:00:00,0.0176624345623538,2,23,67,2
"521",2014-07-25 00:00:00,0.0137865877845936,2,23,81,3
"522",2014-07-25 00:00:00,0.0040816068084689,2,25,62,1
"523",2014-07-25 00:00:00,0.0187614426681976,2,26,70,0
"524",2014-07-25 00:00:00,0.00331195682521634,2,24,66,2
"525",2014-07-25 00:00:00,0.00264740734266716,2,33,89,1
"526",2014-07-25 00:00:00,0.0185820611127211,2,25,68,0
"527",2014-07-25 00:00:00,0.0579238405809326,2,27,72,1
"528",2014-07-25 00:00:00,0.00455281407690191,2,26,69,2
"53",2014-06-23 00:00:00,0.0457706840517534,2,36,160,1
"536",2014-05-31 00:00:00,0.0600465195147737,2,98,154,17
"537",2014-06-30 00:00:00,0.0433137089492953,2,26,106,6
"538",2014-06-30 00:00:00,0.180243478549262,2,29,121,13
"539",2014-06-30 00:00:00,0.204829057270632,2,22,70,3
"54",2014-06-23 00:00:00,0.041116776746483,2,42,137,8
"542",2014-07-25 00:00:00,0.339777462846773,2,24,121,1
"543",2014-07-25 00:00:00,0.160176513035502,2,24,130,1
"544",2014-07-25 00:00:00,0.3284897906417,2,23,118,1
"545",2014-07-25 00:00:00,0.549403512314843,2,21,140,2
"55",2014-06-23 00:00:00,0.0261330578107531,2,29,143,2
"554",2014-12-31 23:59:59,0.149546737383589,2,62,305,12
"56",2014-11-17 12:31:36,0.0173787663992819,2,22,130,4
"563",2014-07-01 00:00:00,0.0481373425986614,2,39,100,8
"564",2014-05-31 00:00:00,0.496318237304926,2,81,356,14
"569",2014-05-19 00:00:00,0.0155065325425375,2,1,3,0
"576",2014-05-31 00:00:00,0.224128319029256,2,48,233,15
"578",2014-05-12 00:00:00,0.780923573360829,2,4,6,4
"580",2014-12-31 23:59:59,0.126241648997784,2,48,169,3
"583",2014-12-31 23:59:59,0.0648922049231475,2,49,155,1
"585",2014-07-31 00:00:00,0.0632765093090658,2,52,132,3
"589",2014-05-27 00:00:00,0.894351496333095,2,2,7,3
"590",2014-06-01 00:00:00,0.012516488298294,2,18,47,7
"593",2014-06-01 00:00:00,0.0281229671994852,2,9,24,15
"596",2014-06-01 00:00:00,0.0149762838431415,2,13,38,3
"598",2014-06-01 00:00:00,0.121195931522013,2,11,41,0
"6",2014-09-29 00:00:00,1.20519660007323,2,30,111,1
"601",2014-05-19 00:00:00,0.145390261348713,2,2,3,0
"605",2014-05-19 00:00:00,0.00829521187665211,2,2,3,0
"606",2014-05-19 00:00:00,0.0579701848129547,2,2,3,1
"61",2014-03-13 00:00:00,0.720129773076009,2,24,65,8
"612",2014-05-23 00:00:00,0.87348457173376,2,2,11,2
"613",2014-05-31 00:00:00,0.233846451068854,2,14,64,3
"615",2014-05-31 00:00:00,0.171884904203059,2,21,39,5
"617",2014-05-19 00:00:00,1.16719539498727,2,12,30,2
"62",2014-01-31 00:00:00,0.501649125156395,2,10,15,1
"621",2014-06-12 00:00:00,0.327382430333466,2,51,820,112
"624",2014-12-31 23:59:59,0.23104212554914,2,56,189,26
"625",2014-12-31 23:59:59,0.0845799483741167,2,47,122,6
"626",2014-05-19 00:00:00,0.833961923094716,2,1,3,0
"627",2014-05-19 00:00:00,0.954390560175429,2,2,4,0
"628",2014-12-31 23:59:59,0.406726422496511,2,57,103,4
"630",2014-05-23 00:00:00,0.441115385929963,2,22,43,3
"635",2014-12-31 23:59:59,0.06358116031821,2,47,109,6
"642",2014-05-28 00:00:00,0.617572791499453,2,5,6,0
"643",2014-07-02 00:00:00,0.46008394301763,2,16,33,1
"645",2014-07-13 00:00:00,0.984738301304517,2,30,274,3
"648",2014-06-10 00:00:00,0.621836429623887,2,9,21,5
"649",2014-11-22 22:59:59,0.222721380269992,2,50,198,18
"655",2014-06-02 00:00:00,0.0669711658718661,2,13,109,2
"656",2014-06-10 23:59:59,0.610127066446815,2,17,30,22
"658",2014-07-14 00:00:00,0.110853588273912,2,21,41,1
"659",2014-11-30 23:59:59,0.115530297586374,2,48,209,34
"661",2014-06-30 00:00:00,0.0985691093596726,2,41,309,13
"663",2015-02-21 23:59:59,0.0969372732238341,2,39,190,4
"664",2015-02-21 23:59:59,0.202531975858989,2,40,265,3
"665",2015-02-21 00:00:00,0.136904472686013,2,45,228,8
"667",2014-06-09 00:00:00,0.424210370891542,2,7,8,2
"669",2014-09-30 23:59:59,0.253938655038408,2,32,78,1
"670",2014-12-31 23:59:59,0.171336315803832,2,74,329,6
"671",2014-06-12 00:00:00,0.297387003463722,2,18,38,1
"672",2014-06-25 00:00:00,0.627531052223758,2,252,433,12
"674",2014-09-30 23:59:59,0.68392148554067,2,62,258,11
"677",2014-07-07 00:00:00,0.0225271620092205,2,33,106,18
"679",2014-12-31 23:59:59,0.232512565997117,2,43,95,2
"685",2014-08-06 00:00:00,0.67548836600995,2,31,89,9
"687",2014-09-30 23:59:59,0.0386161617911724,2,50,271,8
"693",2014-12-31 23:59:59,0.162829242467877,2,41,126,2
"694",2014-12-15 00:00:00,0.619792008875583,2,28,128,11
"698",2014-06-25 00:00:00,0.3512174117085,2,46,111,3
"699",2014-06-25 00:00:00,0.274953789495278,2,41,87,2
"700",2014-06-25 00:00:00,0.307522032322342,2,38,94,10
"702",2014-12-31 23:59:59,0.0720066730758083,2,94,248,7
"704",2014-12-31 22:59:59,0.124423078795304,2,49,142,2
"705",2014-12-31 22:59:59,0.0546976659268901,2,62,114,5
"707",2014-07-03 00:00:00,0.00309768825618602,2,24,66,4
"710",2014-12-31 23:59:59,0.359748234902791,2,37,116,0
"713",2014-09-04 00:00:00,0.104737934216685,2,33,275,29
"715",2014-12-31 23:59:59,0.102574813394542,2,55,144,5
"716",2014-10-02 00:00:00,0.19927021421147,2,31,85,3
"718",2015-01-05 23:59:59,0.24277311272016,2,67,203,10
"719",2015-01-05 23:59:59,0.117659958676812,2,62,167,21
"72",2014-06-23 00:00:00,0.0248183506361458,2,37,189,5
"720",2015-01-06 22:59:59,0.776697408849447,2,139,390,34
"728",2014-09-11 00:00:00,0.190567149749355,2,1857,2679,36
"73",2014-06-23 00:00:00,0.0501757129132409,2,39,172,12
"730",2014-08-06 00:00:00,0.255738971907239,2,25,319,18
"733",2014-12-31 23:59:59,0.352198316974992,2,50,116,0
"735",2014-09-24 00:00:00,0.458636672585174,2,30,376,17
"737",2014-09-30 23:59:59,0.364241913626279,2,27,86,5
"738",2014-08-05 00:00:00,0.00739956007804975,2,26,124,11
"739",2014-07-30 00:00:00,0.0465243667853894,2,65,137,32
"74",2014-10-07 00:00:00,0.908789912466192,2,39,343,20
"747",2014-08-05 00:00:00,0.00307766950923843,2,1137,2082,16
"748",2015-01-25 23:59:59,0.0548535486269817,2,214,1023,42
"75",2014-10-08 00:00:00,0.684156964704468,2,63,271,34
"750",2014-07-17 00:00:00,0.469289142333984,2,6,7,6
"751",2014-07-23 00:00:00,0.490368228055571,2,6,24,2
"752",2014-07-23 00:00:00,0.813396075294413,2,8,27,2
"754",2014-09-02 00:00:00,0.341117820705017,2,20,206,27
"758",2014-07-31 00:00:00,0.839781434860309,2,29,125,5
"76",2014-12-31 23:59:59,0.411847541360061,2,57,167,3
"761",2014-12-31 22:59:59,0.154320962957345,2,33,62,2
"764",2014-09-16 00:00:00,0.243283884582897,2,26,98,8
"765",2014-09-16 00:00:00,0.427537438560955,2,27,95,2
"766",2014-09-16 00:00:00,0.351734671158678,2,26,105,13
"767",2014-09-16 00:00:00,0.0911326367340561,2,30,210,7
"77",2013-12-14 00:00:00,0.0606570307292284,2,11,12,0
"778",2014-11-16 23:59:59,0.340941769909428,2,24,46,0
"78",2013-12-15 00:00:00,0.0593126845758161,2,11,14,2
"786",2014-12-31 23:59:59,0.0776612985049605,2,34,64,1
"789",2014-11-18 23:59:59,0.555710875920112,2,27,45,2
"79",2014-03-01 00:00:00,0.0707848447110768,2,85,129,5
"791",2014-12-31 23:59:59,0.125918131734526,2,30,97,1
"801",2014-12-26 00:00:00,0.185784188432544,2,36,100,4
"803",2015-01-05 22:59:59,0.038621656596135,2,324,1006,12
"814",2014-08-15 00:00:00,0.0992722203177705,2,18,38,4
"815",2014-09-04 00:00:00,0.0265437022823322,2,27,75,15
"818",2015-01-31 09:59:59,1.07319429358781,2,78,186,6
"819",2015-01-31 09:59:59,0.348167953130606,2,60,142,5
"823",2014-09-30 22:59:59,0.0686880091643494,2,17,140,17
"834",2014-09-05 00:00:00,0.109230978043465,2,22,184,20
"835",2014-11-30 23:59:59,0.390339018886805,2,21,673,38
"836",2014-08-26 00:00:00,0.375663764565444,2,29,362,13
"84",2014-12-31 00:00:00,0.158916810462025,2,80,210,7
"845",2015-02-21 23:59:59,0.497998671950301,2,19,55,4
"85",2014-10-08 23:00:00,0.468038762419858,2,28,127,14
"853",2014-11-23 23:59:59,0.077160675964963,2,41,359,14
"854",2014-10-01 00:00:00,0.134265157767281,2,13,46,1
"855",2014-09-15 00:00:00,0.248079480681909,2,17,74,14
"856",2014-12-31 23:59:59,0.0593312733608768,2,19,67,1
"867",2014-12-15 23:59:59,0.12685598505638,2,24,44,8
"875",2015-02-26 23:59:59,0.0656129899139399,2,42,71,1
"876",2015-02-26 23:59:59,1.10748093017951,2,29,51,1
"877",2015-02-26 23:59:59,0.180030885833759,2,13,16,1
"878",2015-02-26 23:59:59,0.0730030944410934,2,13,19,1
"889",2014-09-15 00:00:00,0.247641679248774,2,12,83,2
"893",2014-10-13 23:59:59,0.203825743752482,2,12,105,3
"894",2014-12-01 23:59:59,0.238373364959875,2,9,24,2
"897",2014-11-23 23:59:59,0.0168798331385394,2,31,137,23
"898",2014-11-23 23:59:59,0.00520044797462481,2,10,24,3
"899",2014-11-23 23:59:59,0.0402065014770529,2,21,74,1
"9",2014-03-04 00:00:00,0.393478253404826,2,30,66,6
"90",2014-02-12 00:00:00,1.47171328057347,2,26,50,1
"905",2015-01-11 23:59:59,0.336593440806399,2,36,100,4
"906",2015-01-11 22:59:59,0.554205512371987,2,33,212,5
"907",2015-01-11 22:59:59,0.857806286874357,2,40,347,25
"908",2014-11-23 22:59:59,0.120075760782012,2,8,65,1
"91",2014-10-05 23:14:00,1.14078636575706,2,23,79,2
"917",2015-01-13 10:59:59,0.912385188898598,2,39,164,4
"918",2015-01-13 13:00:00,0.911548984255615,2,51,320,4
"92",2014-09-29 00:00:00,0.299894474353383,2,19,78,0
"920",2014-11-30 22:59:59,0.335946948149877,2,30,579,26
"922",2014-11-23 23:59:59,0.019331386900976,2,22,82,4
"923",2014-11-23 23:59:59,0.00215775632340714,2,19,41,0
"924",2015-01-11 23:59:59,0.181017813162071,2,22,32,3
"93",2014-09-29 00:00:00,0.275629817407818,2,23,88,0
"930",2014-10-17 00:00:00,0.133695723098102,2,8,67,10
"934",2014-12-31 22:59:59,0.0433950316641312,2,17,35,5
"937",2014-12-31 23:59:59,0.282705207251224,2,37,84,1
"939",2014-11-20 10:08:59,0.0296608030395574,2,5,9,1
"94",2014-09-29 00:00:00,0.240617129777318,2,23,93,0
"941",2014-10-31 23:59:59,1.45489029851029,2,5,5,0
"95",2014-09-29 00:00:00,0.208277802301678,2,24,101,0
"96",2014-10-05 23:14:00,0.222444426678286,2,36,117,13
"97",2014-09-29 00:00:00,0.528401157198817,2,22,75,2
"98",2014-09-29 00:00:00,0.301195283985123,2,19,75,1
"99",2014-09-29 00:00:00,0.108626670291417,2,39,145,0
