quest_id,trade_counts,setA,setB,setN,active
44,24,T,F,F,Y
45,23,T,F,F,Y
48,38,T,F,F,Y
76,70,T,F,F,Y
103,57,T,F,F,Y
123,10,T,F,F,Y
128,50,T,F,F,Y
129,43,T,F,F,Y
138,30,T,F,F,Y
140,35,T,F,F,Y
144,14,T,F,F,Y
154,24,T,F,F,Y
158,60,T,F,F,Y
173,28,T,F,F,Y
175,27,T,F,F,Y
179,8,T,F,F,Y
184,67,T,F,F,Y
191,8,T,F,F,Y
193,21,T,F,F,Y
195,6,T,F,F,Y
197,8,T,F,F,Y
201,37,T,F,F,Y
204,51,T,F,F,Y
208,44,T,F,F,Y
216,53,T,F,F,Y
224,14,T,F,F,Y
229,56,T,F,F,Y
230,16,T,F,F,Y
253,18,T,F,F,Y
309,20,T,F,F,Y
314,15,T,F,F,Y
316,11,T,F,F,Y
321,215,T,F,F,Y
326,45,T,F,F,Y
328,65,T,F,F,Y
333,16,T,F,F,Y
338,44,T,F,F,Y
345,14,T,F,F,Y
347,15,T,F,F,Y
355,33,T,F,F,Y
357,16,T,F,F,Y
358,46,T,F,F,Y
369,37,T,F,F,Y
374,45,T,F,F,Y
376,7,T,F,F,Y
377,9,T,F,F,Y
384,52,T,F,F,Y
386,34,T,F,F,Y
403,89,T,F,F,Y
416,4,T,F,F,Y
418,81,T,F,F,Y
419,26,T,F,F,Y
420,187,T,F,F,Y
425,17,T,F,F,Y
428,5,T,F,F,Y
438,32,T,F,F,Y
447,52,T,F,F,Y
448,12,T,F,F,Y
451,18,T,F,F,Y
452,37,T,F,F,Y
454,37,T,F,F,Y
467,2,T,F,F,Y
468,6,T,F,F,Y
529,36,T,F,F,Y
553,19,T,F,F,Y
561,11,T,F,F,Y
565,29,T,F,F,Y
581,4,T,F,F,Y
583,69,T,F,F,Y
588,102,T,F,F,Y
607,10,T,F,F,Y
609,8,T,F,F,Y
620,109,T,F,F,Y
622,53,T,F,F,Y
625,23,T,F,F,Y
633,9,T,F,F,Y
635,13,T,F,F,Y
644,6,T,F,F,Y
647,38,T,F,F,Y
654,27,T,F,F,Y
663,4,T,F,F,Y
665,12,T,F,F,Y
670,16,T,F,F,Y
679,28,T,F,F,Y
684,52,T,F,F,Y
693,1,T,F,F,Y
702,86,T,F,F,Y
704,22,T,F,F,Y
706,81,T,F,F,Y
710,47,T,F,F,Y
715,29,T,F,F,Y
719,12,T,F,F,Y
720,46,T,F,F,Y
724,25,T,F,F,Y
726,31,T,F,F,Y
741,18,T,F,F,Y
745,13,T,F,F,Y
774,45,T,F,F,Y
786,11,T,F,F,Y
791,46,T,F,F,Y
793,7,T,F,F,Y
801,47,T,F,F,Y
816,16,T,F,F,Y
818,22,T,F,F,Y
819,19,T,F,F,Y
822,48,T,F,F,Y
839,12,T,F,F,Y
842,89,T,F,F,Y
847,1,T,F,F,Y
851,15,T,F,F,Y
853,238,T,F,F,Y
856,53,T,F,F,Y
858,18,T,F,F,Y
863,44,T,F,F,Y
875,20,T,F,F,Y
876,27,T,F,F,Y
895,14,T,F,F,Y
897,132,T,F,F,Y
900,23,T,F,F,Y
905,67,T,F,F,Y
910,22,T,F,F,Y
918,165,T,F,F,Y
920,59,T,F,F,Y
922,72,T,F,F,Y
923,38,T,F,F,Y
925,160,T,F,F,Y
926,45,T,F,F,Y
927,54,T,F,F,Y
929,10,T,F,F,Y
931,14,T,F,F,Y
933,15,T,F,F,Y
936,27,T,F,F,Y
940,80,T,F,F,Y
941,1,T,F,F,Y
942,15,T,F,F,Y
943,1,T,F,F,Y
944,8,T,F,F,Y
957,94,T,F,F,Y
958,38,T,F,F,Y
959,22,T,F,F,Y
961,11,T,F,F,Y
962,69,T,F,F,Y
963,31,T,F,F,Y
964,22,T,F,F,Y
966,8,T,F,F,Y
977,104,T,F,F,Y
978,52,T,F,F,Y
979,23,T,F,F,Y
981,4,T,F,F,Y
987,88,T,F,F,Y
988,19,T,F,F,Y
989,20,T,F,F,Y
991,6,T,F,F,Y
1004,176,T,F,F,Y
1007,3,T,F,F,Y
1010,3,T,F,F,Y
1011,4,T,F,F,Y
1014,2,T,F,F,Y
1016,3,T,F,F,Y
1026,37,T,F,F,Y
1030,94,T,F,F,Y
1034,29,T,F,F,Y
1039,57,T,F,F,Y
1040,39,T,F,F,Y
1041,91,T,F,F,Y
1042,19,T,F,F,Y
1044,47,T,F,F,Y
43,4,F,T,F,N
46,5,F,T,F,N
47,2,F,T,F,N
84,11,F,T,F,N
102,19,F,T,F,N
130,4,F,T,F,N
145,6,F,T,F,N
172,8,F,T,F,N
183,7,F,T,F,N
188,10,F,T,F,N
189,8,F,T,F,N
190,13,F,T,F,N
192,8,F,T,F,N
194,18,F,T,F,N
199,10,F,T,F,N
205,2,F,T,F,N
209,5,F,T,F,N
212,5,F,T,F,N
213,20,F,T,F,N
217,9,F,T,F,N
220,2,F,T,F,N
254,4,F,T,F,N
257,3,F,T,F,N
307,4,F,T,F,N
334,7,F,T,F,N
337,4,F,T,F,N
341,17,F,T,F,N
342,13,F,T,F,N
343,26,F,T,F,N
349,29,F,T,F,N
352,11,F,T,F,N
359,8,F,T,F,N
360,7,F,T,F,N
361,3,F,T,F,N
372,10,F,T,F,N
375,44,F,T,F,N
382,80,F,T,F,N
393,6,F,T,F,N
399,9,F,T,F,N
404,25,F,T,F,N
405,10,F,T,F,N
410,10,F,T,F,N
413,3,F,T,F,N
417,9,F,T,F,N
422,4,F,T,F,N
426,6,F,T,F,N
445,9,F,T,F,N
459,12,F,T,F,N
465,5,F,T,F,N
466,15,F,T,F,N
469,12,F,T,F,N
511,4,F,T,F,N
533,4,F,T,F,N
551,1,F,T,F,N
552,2,F,T,F,N
554,24,F,T,F,N
559,1,F,T,F,N
560,2,F,T,F,N
562,5,F,T,F,N
566,272,F,T,F,N
580,22,F,T,F,N
582,11,F,T,F,N
584,7,F,T,F,N
587,5,F,T,F,N
616,4,F,T,F,N
623,8,F,T,F,N
624,11,F,T,F,N
628,2,F,T,F,N
632,1,F,T,F,N
640,1,F,T,F,N
649,18,F,T,F,N
656,26,F,T,F,N
659,15,F,T,F,N
664,5,F,T,F,N
666,11,F,T,F,N
673,2,F,T,F,N
681,5,F,T,F,N
703,2,F,T,F,N
705,3,F,T,F,N
708,4,F,T,F,N
717,29,F,T,F,N
718,14,F,T,F,N
723,3,F,T,F,N
727,26,F,T,F,N
732,13,F,T,F,N
733,15,F,T,F,N
761,1,F,T,F,N
776,27,F,T,F,N
787,2,F,T,F,N
789,9,F,T,F,N
792,8,F,T,F,N
794,4,F,T,F,N
802,4,F,T,F,N
803,9,F,T,F,N
817,8,F,T,F,N
835,7,F,T,F,N
837,23,F,T,F,N
838,8,F,T,F,N
845,4,F,T,F,N
848,1,F,T,F,N
857,2,F,T,F,N
859,3,F,T,F,N
860,8,F,T,F,N
861,7,F,T,F,N
862,1,F,T,F,N
865,2,F,T,F,N
866,6,F,T,F,N
867,7,F,T,F,N
877,1,F,T,F,N
880,9,F,T,F,N
894,11,F,T,F,N
896,3,F,T,F,N
898,21,F,T,F,N
899,42,F,T,F,N
901,13,F,T,F,N
906,6,F,T,F,N
907,11,F,T,F,N
917,25,F,T,F,N
924,3,F,T,F,N
932,5,F,T,F,N
934,11,F,T,F,N
937,10,F,T,F,N
939,2,F,T,F,N
947,39,F,T,F,N
948,12,F,T,F,N
949,8,F,T,F,N
952,27,F,T,F,N
967,13,F,T,F,N
968,1,F,T,F,N
972,38,F,T,F,N
973,1,F,T,F,N
974,1,F,T,F,N
982,58,F,T,F,N
983,6,F,T,F,N
1025,6,F,T,F,N
1027,25,F,T,F,N
1029,2,F,T,F,N
1031,1,F,T,F,N
1032,2,F,T,F,N
1036,11,F,T,F,N
1037,10,F,T,F,N
1038,1,F,T,F,N
1043,15,F,T,F,N
1047,9,F,T,F,N
1051,18,F,T,F,N
1052,11,F,T,F,N
1056,4,F,T,F,N
1061,3,F,T,F,N
1068,2,F,T,F,N
1069,12,F,T,F,N
1072,4,F,T,F,N
1075,4,F,T,F,N
8,1,F,F,T,N
18,3,F,F,T,N
21,2,F,F,T,N
24,4,F,F,T,N
25,2,F,F,T,N
26,4,F,F,T,N
27,7,F,F,T,N
28,9,F,F,T,N
29,9,F,F,T,N
30,19,F,F,T,N
31,4,F,F,T,N
32,1,F,F,T,N
33,1,F,F,T,N
34,2,F,F,T,N
49,4,F,F,T,N
50,2,F,F,T,N
56,2,F,F,T,N
57,7,F,F,T,N
58,5,F,F,T,N
59,2,F,F,T,N
60,2,F,F,T,N
64,1,F,F,T,N
65,1,F,F,T,N
66,1,F,F,T,N
68,3,F,F,T,N
69,1,F,F,T,N
70,3,F,F,T,N
71,11,F,F,T,N
105,45,F,F,T,N
107,1,F,F,T,N
124,5,F,F,T,N
125,3,F,F,T,N
132,10,F,F,T,N
133,16,F,F,T,N
134,2,F,F,T,N
136,55,F,F,T,N
137,2,F,F,T,N
146,1,F,F,T,N
147,3,F,F,T,N
151,6,F,F,T,N
161,1,F,F,T,N
162,1,F,F,T,N
170,1,F,F,T,N
171,2,F,F,T,N
176,2,F,F,T,N
177,3,F,F,T,N
178,9,F,F,T,N
180,1,F,F,T,N
182,1,F,F,T,N
198,3,F,F,T,N
200,10,F,F,T,N
225,1,F,F,T,N
228,4,F,F,T,N
231,3,F,F,T,N
302,1,F,F,T,N
311,1,F,F,T,N
312,8,F,F,T,N
313,13,F,F,T,N
317,10,F,F,T,N
318,9,F,F,T,N
320,54,F,F,T,N
322,8,F,F,T,N
346,8,F,F,T,N
351,1,F,F,T,N
353,5,F,F,T,N
363,1,F,F,T,N
379,21,F,F,T,N
400,1,F,F,T,N
402,8,F,F,T,N
406,4,F,F,T,N
411,7,F,F,T,N
414,7,F,F,T,N
421,8,F,F,T,N
424,5,F,F,T,N
431,2,F,F,T,N
435,2,F,F,T,N
436,1,F,F,T,N
437,1,F,F,T,N
442,2,F,F,T,N
443,1,F,F,T,N
446,13,F,F,T,N
449,2,F,F,T,N
450,20,F,F,T,N
453,3,F,F,T,N
455,3,F,F,T,N
456,1,F,F,T,N
484,15,F,F,T,N
508,2,F,F,T,N
531,3,F,F,T,N
532,1,F,F,T,N
534,9,F,F,T,N
535,1,F,F,T,N
540,1,F,F,T,N
541,2,F,F,T,N
547,3,F,F,T,N
548,5,F,F,T,N
549,1,F,F,T,N
555,17,F,F,T,N
556,40,F,F,T,N
557,1,F,F,T,N
558,2,F,F,T,N
568,1,F,F,T,N
577,1,F,F,T,N
586,1,F,F,T,N
608,1,F,F,T,N
629,11,F,F,T,N
634,2,F,F,T,N
636,5,F,F,T,N
637,164,F,F,T,N
638,6,F,F,T,N
639,7,F,F,T,N
646,1,F,F,T,N
651,2,F,F,T,N
653,15,F,F,T,N
668,7,F,F,T,N
678,1,F,F,T,N
680,3,F,F,T,N
682,2,F,F,T,N
683,4,F,F,T,N
686,1,F,F,T,N
688,3,F,F,T,N
689,4,F,F,T,N
690,1,F,F,T,N
691,1,F,F,T,N
692,2,F,F,T,N
694,6,F,F,T,N
696,7,F,F,T,N
697,9,F,F,T,N
701,2,F,F,T,N
709,1,F,F,T,N
711,14,F,F,T,N
712,1,F,F,T,N
714,4,F,F,T,N
721,9,F,F,T,N
722,2,F,F,T,N
725,3,F,F,T,N
729,8,F,F,T,N
731,9,F,F,T,N
734,2,F,F,T,N
736,1,F,F,T,N
740,4,F,F,T,N
742,8,F,F,T,N
743,1,F,F,T,N
744,2,F,F,T,N
746,1,F,F,T,N
748,24,F,F,T,N
749,9,F,F,T,N
753,1,F,F,T,N
755,9,F,F,T,N
756,2,F,F,T,N
757,7,F,F,T,N
760,6,F,F,T,N
762,4,F,F,T,N
768,16,F,F,T,N
769,6,F,F,T,N
770,2,F,F,T,N
771,18,F,F,T,N
772,10,F,F,T,N
777,10,F,F,T,N
778,7,F,F,T,N
782,1,F,F,T,N
783,1,F,F,T,N
788,1,F,F,T,N
790,1,F,F,T,N
795,2,F,F,T,N
798,1,F,F,T,N
799,9,F,F,T,N
804,8,F,F,T,N
806,8,F,F,T,N
809,1,F,F,T,N
812,74,F,F,T,N
813,26,F,F,T,N
820,2,F,F,T,N
821,3,F,F,T,N
823,1,F,F,T,N
824,4,F,F,T,N
825,4,F,F,T,N
826,2,F,F,T,N
827,17,F,F,T,N
841,7,F,F,T,N
844,1,F,F,T,N
850,3,F,F,T,N
868,1,F,F,T,N
879,1,F,F,T,N
882,1,F,F,T,N
892,2,F,F,T,N
902,19,F,F,T,N
908,58,F,F,T,N
909,8,F,F,T,N
912,2,F,F,T,N
913,1,F,F,T,N
914,1,F,F,T,N
915,2,F,F,T,N
916,4,F,F,T,N
919,1,F,F,T,N
921,1,F,F,T,N
935,5,F,F,T,N
938,15,F,F,T,N
992,5,F,F,T,N
994,1,F,F,T,N
995,1,F,F,T,N
996,2,F,F,T,N
997,2,F,F,T,N
999,2,F,F,T,N
1001,7,F,F,T,N
1002,5,F,F,T,N
1003,2,F,F,T,N
1006,4,F,F,T,N
1020,1,F,F,T,N
1021,6,F,F,T,N
1022,27,F,F,T,N
1023,38,F,F,T,N
1024,5,F,F,T,N
1028,11,F,F,T,N
1033,1,F,F,T,N
1035,3,F,F,T,N
1048,59,F,F,T,N
1049,6,F,F,T,N
1050,46,F,F,T,N
1053,24,F,F,T,N
1054,7,F,F,T,N
1055,7,F,F,T,N
1057,3,F,F,T,N
1058,7,F,F,T,N
1059,5,F,F,T,N
1060,1,F,F,T,N
1062,1,F,F,T,N
1063,10,F,F,T,N
1064,1,F,F,T,N
1065,3,F,F,T,N
1066,36,F,F,T,N
1070,6,F,F,T,N
1071,5,F,F,T,N
1073,5,F,F,T,N
1076,8,F,F,T,N
1077,9,F,F,T,N
1078,1,F,F,T,N
1079,1,F,F,T,N
1080,1,F,F,T,N
1081,1,F,F,T,N
1082,5,F,F,T,N
1083,169,F,F,T,N
1084,1,F,F,T,N
8,2,F,F,T,N
21,2,F,F,T,N
24,2,F,F,T,N
25,2,F,F,T,N
26,2,F,F,T,N
27,3,F,F,T,N
30,2,F,F,T,N
31,3,F,F,T,N
32,4,F,F,T,N
56,1,F,F,T,N
57,8,F,F,T,N
64,4,F,F,T,N
70,1,F,F,T,N
76,32,T,F,F,N
103,22,T,F,F,N
105,30,F,F,T,N
123,1,T,F,F,N
124,1,F,F,T,N
125,4,F,F,T,N
128,22,T,F,F,N
129,6,T,F,F,N
132,10,F,F,T,N
133,19,F,F,T,N
134,1,F,F,T,N
136,6,F,F,T,N
137,1,F,F,T,N
138,15,T,F,F,N
140,7,T,F,F,N
141,1,F,F,T,N
144,4,T,F,F,N
146,15,F,F,T,N
147,4,F,F,T,N
148,1,F,F,T,N
151,2,F,F,T,N
152,1,F,F,T,N
154,32,T,F,F,N
156,2,F,F,T,N
158,17,T,F,F,N
170,1,F,F,T,N
171,6,F,F,T,N
173,10,T,F,F,N
176,2,F,F,T,N
178,2,F,F,T,N
179,14,T,F,F,N
181,8,F,F,T,N
182,4,F,F,T,N
184,5,T,F,F,N
191,11,T,F,F,N
193,17,T,F,F,N
195,15,T,F,F,N
197,14,T,F,F,N
198,1,F,F,T,N
201,21,T,F,F,N
204,25,T,F,F,N
208,8,T,F,F,N
214,1,F,F,T,N
215,1,F,F,T,N
216,8,T,F,F,N
224,28,T,F,F,N
227,1,F,F,T,N
228,8,F,F,T,N
229,27,T,F,F,N
230,4,T,F,F,N
231,6,F,F,T,N
253,5,T,F,F,N
287,1,F,F,T,N
290,1,F,F,T,N
291,1,F,F,T,N
292,1,F,F,T,N
293,1,F,F,T,N
294,1,F,F,T,N
295,1,F,F,T,N
296,1,F,F,T,N
297,2,F,F,T,N
298,1,F,F,T,N
299,1,F,F,T,N
300,1,F,F,T,N
301,1,F,F,T,N
309,15,T,F,F,N
313,3,F,F,T,N
314,5,T,F,F,N
316,5,T,F,F,N
317,3,F,F,T,N
318,3,F,F,T,N
320,15,F,F,T,N
321,61,T,F,F,N
322,2,F,F,T,N
326,17,T,F,F,N
327,1,F,F,T,N
328,23,T,F,F,N
332,1,F,F,T,N
333,8,T,F,F,N
338,14,T,F,F,N
345,9,T,F,F,N
347,13,T,F,F,N
353,1,F,F,T,N
355,14,T,F,F,N
357,15,T,F,F,N
358,11,T,F,F,N
363,1,F,F,T,N
369,4,T,F,F,N
376,14,T,F,F,N
377,29,T,F,F,N
379,4,F,F,T,N
384,20,T,F,F,N
386,20,T,F,F,N
400,2,F,F,T,N
402,4,F,F,T,N
403,33,T,F,F,N
406,1,F,F,T,N
409,1,F,F,T,N
414,2,F,F,T,N
416,7,T,F,F,N
418,17,T,F,F,N
419,18,T,F,F,N
420,46,T,F,F,N
421,1,F,F,T,N
425,16,T,F,F,N
427,6,F,F,T,N
428,10,T,F,F,N
438,9,T,F,F,N
439,1,F,F,T,N
440,1,F,F,T,N
442,2,F,F,T,N
446,4,F,F,T,N
447,19,T,F,F,N
448,11,T,F,F,N
450,1,F,F,T,N
451,10,T,F,F,N
452,21,T,F,F,N
453,1,F,F,T,N
454,23,T,F,F,N
467,24,T,F,F,N
468,11,T,F,F,N
483,2,F,F,T,N
484,10,F,F,T,N
508,1,F,F,T,N
529,25,T,F,F,N
531,2,F,F,T,N
547,2,F,F,T,N
549,1,F,F,T,N
553,8,T,F,F,N
555,5,F,F,T,N
556,30,F,F,T,N
561,3,T,F,F,N
565,7,T,F,F,N
579,1,F,F,T,N
581,2,T,F,F,N
583,21,T,F,F,N
586,4,F,F,T,N
588,16,T,F,F,N
607,14,T,F,F,N
609,8,T,F,F,N
620,78,T,F,F,N
622,13,T,F,F,N
625,17,T,F,F,N
629,8,F,F,T,N
631,3,F,F,T,N
633,13,T,F,F,N
635,7,T,F,F,N
636,2,F,F,T,N
637,19,F,F,T,N
638,4,F,F,T,N
644,2,T,F,F,N
646,2,F,F,T,N
647,10,T,F,F,N
650,1,F,F,T,N
651,1,F,F,T,N
653,12,F,F,T,N
654,10,T,F,F,N
657,1,F,F,T,N
663,2,T,F,F,N
665,3,T,F,F,N
668,1,F,F,T,N
670,10,T,F,F,N
675,3,F,F,T,N
679,10,T,F,F,N
682,6,F,F,T,N
684,25,T,F,F,N
689,1,F,F,T,N
693,10,T,F,F,N
694,6,F,F,T,N
696,8,F,F,T,N
697,26,F,F,T,N
702,23,T,F,F,N
704,24,T,F,F,N
706,14,T,F,F,N
709,5,F,F,T,N
710,9,T,F,F,N
714,1,F,F,T,N
715,3,T,F,F,N
719,13,T,F,F,N
720,33,T,F,F,N
721,9,F,F,T,N
722,1,F,F,T,N
724,10,T,F,F,N
725,2,F,F,T,N
726,13,T,F,F,N
729,11,F,F,T,N
731,6,F,F,T,N
734,4,F,F,T,N
741,9,T,F,F,N
742,7,F,F,T,N
745,2,T,F,F,N
748,17,F,F,T,N
753,1,F,F,T,N
755,2,F,F,T,N
759,2,F,F,T,N
769,3,F,F,T,N
771,22,F,F,T,N
772,11,F,F,T,N
773,1,F,F,T,N
774,4,T,F,F,N
777,4,F,F,T,N
778,1,F,F,T,N
786,7,T,F,F,N
788,1,F,F,T,N
791,11,T,F,F,N
793,2,T,F,F,N
795,3,F,F,T,N
796,1,F,F,T,N
798,1,F,F,T,N
801,21,T,F,F,N
804,7,F,F,T,N
805,1,F,F,T,N
812,14,F,F,T,N
813,12,F,F,T,N
816,7,T,F,F,N
818,10,T,F,F,N
819,18,T,F,F,N
820,3,F,F,T,N
821,3,F,F,T,N
822,8,T,F,F,N
824,1,F,F,T,N
825,1,F,F,T,N
827,2,F,F,T,N
839,13,T,F,F,N
841,1,F,F,T,N
842,28,T,F,F,N
844,2,F,F,T,N
847,1,T,F,F,N
851,5,T,F,F,N
856,8,T,F,F,N
858,7,T,F,F,N
863,8,T,F,F,N
864,7,F,F,T,N
868,1,F,F,T,N
872,2,F,F,T,N
873,1,F,F,T,N
875,5,T,F,F,N
876,7,T,F,F,N
879,2,F,F,T,N
883,1,F,F,T,N
895,11,T,F,F,N
900,9,T,F,F,N
902,1,F,F,T,N
905,8,T,F,F,N
909,4,F,F,T,N
910,7,T,F,F,N
912,2,F,F,T,N
913,1,F,F,T,N
914,5,F,F,T,N
916,3,F,F,T,N
918,63,T,F,F,N
920,1,T,F,F,N
925,5,T,F,F,N
926,1,T,F,F,N
927,9,T,F,F,N
929,2,T,F,F,N
931,4,T,F,F,N
933,3,T,F,F,N
936,19,T,F,F,N
940,31,T,F,F,N
942,1,T,F,F,N
943,4,T,F,F,N
944,1,T,F,F,N
957,9,T,F,F,N
958,7,T,F,F,N
959,1,T,F,F,N
961,6,T,F,F,N
962,8,T,F,F,N
963,3,T,F,F,N
964,1,T,F,F,N
966,5,T,F,F,N
977,32,T,F,F,N
978,7,T,F,F,N
979,1,T,F,F,N
981,1,T,F,F,N
987,31,T,F,F,N
988,6,T,F,F,N
989,1,T,F,F,N
991,2,T,F,F,N
992,1,F,F,T,N
993,3,F,F,T,N
994,21,F,F,T,N
995,2,F,F,T,N
996,4,F,F,T,N
998,1,F,F,T,N
1001,1,F,F,T,N
1002,1,F,F,T,N
1003,2,F,F,T,N
1004,10,T,F,F,N
1006,2,F,F,T,N
1010,1,T,F,F,N
1011,1,T,F,F,N
1014,2,T,F,F,N
1016,1,T,F,F,N
1017,2,F,F,T,N
1019,5,F,F,T,N
1020,1,F,F,T,N
1022,19,F,F,T,N
1023,13,F,F,T,N
1026,14,T,F,F,N
1030,28,T,F,F,N
1034,14,T,F,F,N
1035,1,F,F,T,N
1039,12,T,F,F,N
1040,14,T,F,F,N
1041,21,T,F,F,N
1042,3,T,F,F,N
1044,10,T,F,F,N
1045,2,F,F,T,N
1048,26,F,F,T,N
1050,6,F,F,T,N
1053,7,F,F,T,N
1055,3,F,F,T,N
1057,4,F,F,T,N
1058,8,F,F,T,N
1059,4,F,F,T,N
1060,1,F,F,T,N
1063,14,F,F,T,N
1064,11,F,F,T,N
1065,1,F,F,T,N
1066,6,F,F,T,N
1067,12,F,F,T,N
1070,2,F,F,T,N
1071,1,F,F,T,N
1073,3,F,F,T,N
1077,2,F,F,T,N
1082,1,F,F,T,N
1083,33,F,F,T,N
1084,2,F,F,T,N
1088,3,F,F,T,N
1090,2,F,F,T,N
1091,15,F,F,T,N
1093,1,F,F,T,N
1095,2,F,F,T,N
1097,3,F,F,T,N
1098,2,F,F,T,N
1100,1,F,F,T,N
1103,1,F,F,T,N
1105,1,F,F,T,N
1106,2,F,F,T,N
1107,11,F,F,T,N
1108,2,F,F,T,N
1110,1,F,F,T,N
1112,2,F,F,T,N
1114,8,F,F,T,N
1120,10,F,F,T,N
1121,39,F,F,T,N
1122,14,F,F,T,N
1123,2,F,F,T,N
84,49,F,T,F,Y
102,85,F,T,F,Y
130,22,F,T,F,Y
139,23,F,T,F,Y
145,70,F,T,F,Y
172,45,F,T,F,Y
183,36,F,T,F,Y
188,50,F,T,F,Y
189,32,F,T,F,Y
190,47,F,T,F,Y
192,27,F,T,F,Y
194,49,F,T,F,Y
199,35,F,T,F,Y
205,17,F,T,F,Y
209,58,F,T,F,Y
212,25,F,T,F,Y
213,59,F,T,F,Y
217,10,F,T,F,Y
220,30,F,T,F,Y
254,2,F,T,F,Y
257,8,F,T,F,Y
307,16,F,T,F,Y
334,23,F,T,F,Y
337,4,F,T,F,Y
341,33,F,T,F,Y
342,16,F,T,F,Y
343,70,F,T,F,Y
349,1,F,T,F,Y
352,29,F,T,F,Y
359,65,F,T,F,Y
360,102,F,T,F,Y
370,4,F,T,F,Y
372,2,F,T,F,Y
375,50,F,T,F,Y
382,93,F,T,F,Y
393,19,F,T,F,Y
399,42,F,T,F,Y
404,44,F,T,F,Y
405,8,F,T,F,Y
410,1,F,T,F,Y
413,11,F,T,F,Y
417,26,F,T,F,Y
422,24,F,T,F,Y
426,21,F,T,F,Y
445,31,F,T,F,Y
459,56,F,T,F,Y
466,45,F,T,F,Y
469,50,F,T,F,Y
533,15,F,T,F,Y
551,11,F,T,F,Y
552,96,F,T,F,Y
554,23,F,T,F,Y
559,8,F,T,F,Y
560,13,F,T,F,Y
562,8,F,T,F,Y
566,25,F,T,F,Y
580,20,F,T,F,Y
582,32,F,T,F,Y
584,36,F,T,F,Y
587,22,F,T,F,Y
616,10,F,T,F,Y
623,18,F,T,F,Y
624,28,F,T,F,Y
628,47,F,T,F,Y
632,27,F,T,F,Y
656,31,F,T,F,Y
664,6,F,T,F,Y
666,31,F,T,F,Y
681,3,F,T,F,Y
703,17,F,T,F,Y
705,45,F,T,F,Y
708,17,F,T,F,Y
717,34,F,T,F,Y
718,43,F,T,F,Y
723,4,F,T,F,Y
727,10,F,T,F,Y
732,20,F,T,F,Y
733,35,F,T,F,Y
761,10,F,T,F,Y
776,25,F,T,F,Y
787,11,F,T,F,Y
792,9,F,T,F,Y
794,6,F,T,F,Y
802,20,F,T,F,Y
803,28,F,T,F,Y
817,2,F,T,F,Y
837,46,F,T,F,Y
838,42,F,T,F,Y
845,2,F,T,F,Y
846,5,F,T,F,Y
848,4,F,T,F,Y
857,18,F,T,F,Y
859,8,F,T,F,Y
860,6,F,T,F,Y
861,35,F,T,F,Y
862,6,F,T,F,Y
865,32,F,T,F,Y
866,6,F,T,F,Y
867,54,F,T,F,Y
877,9,F,T,F,Y
878,3,F,T,F,Y
880,96,F,T,F,Y
896,2,F,T,F,Y
901,19,F,T,F,Y
906,105,F,T,F,Y
907,88,F,T,F,Y
917,105,F,T,F,Y
924,21,F,T,F,Y
928,12,F,T,F,Y
932,6,F,T,F,Y
934,12,F,T,F,Y
937,65,F,T,F,Y
947,29,F,T,F,Y
948,58,F,T,F,Y
949,22,F,T,F,Y
951,6,F,T,F,Y
952,37,F,T,F,Y
953,20,F,T,F,Y
954,16,F,T,F,Y
956,7,F,T,F,Y
967,11,F,T,F,Y
968,33,F,T,F,Y
969,8,F,T,F,Y
971,33,F,T,F,Y
972,20,F,T,F,Y
973,40,F,T,F,Y
974,18,F,T,F,Y
975,14,F,T,F,Y
982,80,F,T,F,Y
983,28,F,T,F,Y
984,3,F,T,F,Y
986,2,F,T,F,Y
1008,5,F,T,F,Y
1009,4,F,T,F,Y
1012,5,F,T,F,Y
1013,2,F,T,F,Y
1015,1,F,T,F,Y
1025,25,F,T,F,Y
1027,57,F,T,F,Y
1029,12,F,T,F,Y
1031,13,F,T,F,Y
1032,15,F,T,F,Y
1036,68,F,T,F,Y
1037,40,F,T,F,Y
1038,60,F,T,F,Y
1043,72,F,T,F,Y
1047,2,F,T,F,Y
1051,7,F,T,F,Y
1052,18,F,T,F,Y
1056,1,F,T,F,Y
1068,2,F,T,F,Y
1069,9,F,T,F,Y
1072,2,F,T,F,Y
1074,2,F,T,F,Y
1075,1,F,T,F,Y
1085,5,F,T,F,Y
1087,5,F,T,F,Y
1094,2,F,T,F,Y
1096,4,F,T,F,Y
1101,7,F,T,F,Y
1109,1,F,T,F,Y
1111,2,F,T,F,Y
1113,1,F,T,F,Y
1115,2,F,T,F,Y
1116,2,F,T,F,Y
1118,3,F,T,F,Y
1119,2,F,T,F,Y
