questionId,trade_count,q1,q2,q3,q4,setA,setB,setN,active
8,1,T,F,F,F,F,F,T,N
18,3,T,F,F,F,F,F,T,N
21,2,T,F,F,F,F,F,T,N
24,4,T,F,F,F,F,F,T,N
25,2,T,F,F,F,F,F,T,N
26,4,T,F,F,F,F,F,T,N
27,7,T,F,F,F,F,F,T,N
28,9,T,F,F,F,F,F,T,N
29,9,T,F,F,F,F,F,T,N
30,19,T,F,F,F,F,F,T,N
31,4,T,F,F,F,F,F,T,N
32,2,T,F,F,F,F,F,T,N
33,1,T,F,F,F,F,F,T,N
34,2,T,F,F,F,F,F,T,N
36,0,T,F,F,F,F,F,T,N
43,4,T,F,F,F,F,T,F,N
44,24,T,F,F,F,T,F,F,Y
45,23,T,F,F,F,T,F,F,Y
46,5,T,F,F,F,F,T,F,N
47,2,T,F,F,F,F,T,F,N
48,38,T,F,F,F,T,F,F,Y
49,4,T,F,F,F,F,F,T,N
50,2,T,F,F,F,F,F,T,N
56,2,T,F,F,F,F,F,T,N
57,7,T,F,F,F,F,F,T,N
58,5,T,F,F,F,F,F,T,N
59,2,T,F,F,F,F,F,T,N
60,2,T,F,F,F,F,F,T,N
63,0,T,F,F,F,F,F,T,N
64,1,T,F,F,F,F,F,T,N
65,1,T,F,F,F,F,F,T,N
66,1,T,F,F,F,F,F,T,N
68,3,T,F,F,F,F,F,T,N
69,1,T,F,F,F,F,F,T,N
70,3,T,F,F,F,F,F,T,N
71,11,T,F,F,F,F,F,T,N
76,70,T,F,F,F,T,F,F,Y
84,15,T,F,F,F,F,T,F,N
102,24,T,F,F,F,F,T,F,N
103,57,T,F,F,F,T,F,F,Y
105,46,T,F,F,F,F,F,T,N
107,1,T,F,F,F,F,F,T,N
123,10,T,F,F,F,T,F,F,Y
124,5,T,F,F,F,F,F,T,N
125,3,T,F,F,F,F,F,T,N
128,50,T,F,F,F,T,F,F,Y
129,43,T,F,F,F,T,F,F,Y
130,6,T,F,F,F,F,T,F,N
132,11,T,F,F,F,F,F,T,N
133,16,T,F,F,F,F,F,T,N
134,2,T,F,F,F,F,F,T,N
135,0,T,F,F,F,F,F,T,N
136,55,T,F,F,F,F,F,T,N
137,2,T,F,F,F,F,F,T,N
138,30,T,F,F,F,T,F,F,Y
139,0,T,F,F,F,F,T,F,N
140,39,T,F,F,F,T,F,F,Y
141,0,T,F,F,F,F,F,T,N
144,14,T,F,F,F,T,F,F,Y
145,11,T,F,F,F,F,T,F,N
146,1,T,F,F,F,F,F,T,N
147,3,T,F,F,F,F,F,T,N
148,0,T,F,F,F,F,F,T,N
151,6,T,F,F,F,F,F,T,N
152,0,T,F,F,F,F,F,T,N
154,24,T,F,F,F,T,F,F,Y
156,0,T,F,F,F,F,F,T,N
158,64,T,F,F,F,T,F,F,Y
161,1,T,F,F,F,F,F,T,N
162,1,T,F,F,F,F,F,T,N
167,0,T,F,F,F,F,F,T,N
170,1,T,F,F,F,F,F,T,N
171,2,T,F,F,F,F,F,T,N
172,10,T,F,F,F,F,T,F,N
173,28,T,F,F,F,T,F,F,Y
175,27,T,F,F,F,T,F,F,Y
176,2,T,F,F,F,F,F,T,N
177,3,T,F,F,F,F,F,T,N
178,9,T,F,F,F,F,F,T,N
179,8,T,F,F,F,T,F,F,Y
180,1,T,F,F,F,F,F,T,N
181,2,T,F,F,F,F,F,T,N
182,1,T,F,F,F,F,F,T,N
183,12,T,F,F,F,F,T,F,N
184,71,T,F,F,F,T,F,F,Y
188,15,T,F,F,F,F,T,F,N
189,12,T,F,F,F,F,T,F,N
190,16,T,F,F,F,F,T,F,N
191,8,T,F,F,F,T,F,F,Y
192,9,T,F,F,F,F,T,F,N
193,21,T,F,F,F,T,F,F,Y
194,23,T,F,F,F,F,T,F,N
195,6,T,F,F,F,T,F,F,Y
197,8,T,F,F,F,T,F,F,Y
198,3,T,F,F,F,F,F,T,N
199,15,T,F,F,F,F,T,F,N
200,10,T,F,F,F,F,F,T,N
201,37,T,F,F,F,T,F,F,Y
204,51,T,F,F,F,T,F,F,Y
205,5,T,F,F,F,F,T,F,N
207,0,T,F,F,F,F,T,F,N
208,45,T,F,F,F,T,F,F,Y
209,5,T,F,F,F,F,T,F,N
212,7,T,F,F,F,F,T,F,N
213,25,T,F,F,F,F,T,F,N
214,0,T,F,F,F,F,F,T,N
215,0,T,F,F,F,F,F,T,N
216,54,T,F,F,F,T,F,F,Y
217,9,T,F,F,F,F,T,F,N
220,5,T,F,F,F,F,T,F,N
224,14,T,F,F,F,T,F,F,Y
225,1,T,F,F,F,F,F,T,N
226,0,T,F,F,F,F,F,T,N
227,0,T,F,F,F,F,F,T,N
228,4,T,F,F,F,F,F,T,N
229,58,T,F,F,F,T,F,F,Y
230,16,T,F,F,F,T,F,F,Y
231,3,T,F,F,F,F,F,T,N
253,18,T,F,F,F,T,F,F,Y
254,4,T,F,F,F,F,T,F,N
257,3,T,F,F,F,F,T,F,N
287,0,T,F,F,F,F,F,T,N
290,0,T,F,F,F,F,F,T,N
291,0,T,F,F,F,F,F,T,N
292,0,T,F,F,F,F,F,T,N
293,0,T,F,F,F,F,F,T,N
294,0,T,F,F,F,F,F,T,N
295,0,T,F,F,F,F,F,T,N
296,0,T,F,F,F,F,F,T,N
297,0,T,F,F,F,F,F,T,N
298,0,T,F,F,F,F,F,T,N
299,0,T,F,F,F,F,F,T,N
300,0,T,F,F,F,F,F,T,N
301,0,T,F,F,F,F,F,T,N
302,1,T,F,F,F,F,F,T,N
307,4,T,F,F,F,F,T,F,N
309,22,T,F,F,F,T,F,F,Y
310,0,T,F,F,F,F,F,T,N
311,1,T,F,F,F,F,F,T,N
312,8,T,F,F,F,F,F,T,N
313,13,T,F,F,F,F,F,T,N
314,16,T,F,F,F,T,F,F,Y
315,0,T,F,F,F,F,F,T,N
316,11,T,F,F,F,T,F,F,Y
317,10,T,F,F,F,F,F,T,N
318,12,T,F,F,F,F,F,T,N
320,54,T,F,F,F,F,F,T,N
321,218,T,F,F,F,T,F,F,Y
322,11,T,F,F,F,F,F,T,N
326,45,T,F,F,F,T,F,F,Y
327,0,T,F,F,F,F,F,T,N
328,67,T,F,F,F,T,F,F,Y
330,0,T,F,F,F,F,F,T,N
332,0,T,F,F,F,F,F,T,N
333,17,T,F,F,F,T,F,F,Y
334,8,T,F,F,F,F,T,F,N
336,0,T,F,F,F,F,F,T,N
337,4,T,F,F,F,F,T,F,N
338,46,T,F,F,F,T,F,F,Y
341,18,T,F,F,F,F,T,F,N
342,13,T,F,F,F,F,T,F,N
343,30,T,F,F,F,F,T,F,N
345,14,T,F,F,F,T,F,F,Y
346,8,T,F,F,F,F,F,T,N
347,15,T,F,F,F,T,F,F,Y
349,29,T,F,F,F,F,T,F,N
350,0,T,F,F,F,F,F,T,N
351,1,T,F,F,F,F,F,T,N
352,16,T,F,F,F,F,T,F,N
353,5,T,F,F,F,F,F,T,N
355,33,T,F,F,F,T,F,F,Y
357,16,T,F,F,F,T,F,F,Y
358,46,T,F,F,F,T,F,F,Y
359,12,T,F,F,F,F,T,F,N
360,10,T,F,F,F,F,T,F,N
361,3,T,F,F,F,F,T,F,N
362,0,T,F,F,F,F,F,T,N
363,1,T,F,F,F,F,F,T,N
369,42,T,F,F,F,T,F,F,Y
370,0,T,F,F,F,F,T,F,N
372,10,T,F,F,F,F,T,F,N
374,45,T,F,F,F,T,F,F,Y
375,48,T,F,F,F,F,T,F,N
376,7,T,F,F,F,T,F,F,Y
377,9,T,F,F,F,T,F,F,Y
379,21,T,F,F,F,F,F,T,N
382,85,T,F,F,F,F,T,F,N
384,56,T,F,F,F,T,F,F,Y
386,34,T,F,F,F,T,F,F,Y
387,0,T,F,F,F,F,F,T,N
393,8,T,F,F,F,F,T,F,N
399,9,T,F,F,F,F,T,F,N
400,1,T,F,F,F,F,F,T,N
402,8,T,F,F,F,F,F,T,N
403,90,T,F,F,F,T,F,F,Y
404,30,T,F,F,F,F,T,F,N
405,14,T,F,F,F,F,T,F,N
406,4,T,F,F,F,F,F,T,N
409,0,T,F,F,F,F,F,T,N
410,10,T,F,F,F,F,T,F,N
411,7,T,F,F,F,F,F,T,N
413,3,T,F,F,F,F,T,F,N
414,7,T,F,F,F,F,F,T,N
416,4,T,F,F,F,T,F,F,Y
417,11,T,F,F,F,F,T,F,N
418,81,T,F,F,F,T,F,F,Y
419,26,T,F,F,F,T,F,F,Y
420,191,T,F,F,F,T,F,F,Y
421,8,T,F,F,F,F,F,T,N
422,6,T,F,F,F,F,T,F,N
424,5,T,F,F,F,F,F,T,N
425,17,T,F,F,F,T,F,F,Y
426,8,T,F,F,F,F,T,F,N
427,0,T,F,F,F,F,F,T,N
428,5,T,F,F,F,T,F,F,Y
431,2,T,F,F,F,F,F,T,N
435,2,T,F,F,F,F,F,T,N
436,1,T,F,F,F,F,F,T,N
437,1,T,F,F,F,F,F,T,N
438,33,T,F,F,F,T,F,F,Y
439,0,T,F,F,F,F,F,T,N
440,0,T,F,F,F,F,F,T,N
441,0,T,F,F,F,F,F,T,N
442,2,T,F,F,F,F,F,T,N
443,1,T,F,F,F,F,F,T,N
445,13,T,F,F,F,F,T,F,N
446,13,T,F,F,F,F,F,T,N
447,56,T,F,F,F,T,F,F,Y
448,12,T,F,F,F,T,F,F,Y
449,2,T,F,F,F,F,F,T,N
450,20,T,F,F,F,F,F,T,N
451,18,T,F,F,F,T,F,F,Y
452,37,T,F,F,F,T,F,F,Y
453,3,T,F,F,F,F,F,T,N
454,42,T,F,F,F,T,F,F,Y
455,3,T,F,F,F,F,F,T,N
456,1,T,F,F,F,F,F,T,N
459,16,T,F,F,F,F,T,F,N
465,5,T,F,F,F,F,T,F,N
466,19,T,F,F,F,F,T,F,N
467,2,T,F,F,F,T,F,F,Y
468,6,T,F,F,F,T,F,F,Y
469,15,T,F,F,F,F,T,F,N
483,0,T,F,F,F,F,F,T,N
484,15,T,F,F,F,F,F,T,N
508,2,T,F,F,F,F,F,T,N
511,4,T,F,F,F,F,T,F,N
529,38,T,F,F,F,T,F,F,Y
531,3,T,F,F,F,F,F,T,N
532,1,T,F,F,F,F,F,T,N
533,7,T,F,F,F,F,T,F,N
534,9,T,F,F,F,F,F,T,N
535,1,T,F,F,F,F,F,T,N
540,1,T,F,F,F,F,F,T,N
541,2,T,F,F,F,F,F,T,N
547,3,T,F,F,F,F,F,T,N
548,6,T,F,F,F,F,F,T,N
549,1,T,F,F,F,F,F,T,N
551,1,T,F,F,F,F,T,F,N
552,2,T,F,F,F,F,T,F,N
553,23,T,F,F,F,T,F,F,Y
554,27,T,F,F,F,F,T,F,N
555,17,T,F,F,F,F,F,T,N
556,40,T,F,F,F,F,F,T,N
557,1,T,F,F,F,F,F,T,N
558,3,T,F,F,F,F,F,T,N
559,3,T,F,F,F,F,T,F,N
560,5,T,F,F,F,F,T,F,N
561,12,T,F,F,F,T,F,F,Y
562,5,T,F,F,F,F,T,F,N
565,30,T,F,F,F,T,F,F,Y
566,276,T,F,F,F,F,T,F,N
568,1,T,F,F,F,F,F,T,N
577,1,T,F,F,F,F,F,T,N
579,0,T,F,F,F,F,F,T,N
580,27,T,F,F,F,F,T,F,N
581,5,T,F,F,F,T,F,F,Y
582,15,T,F,F,F,F,T,F,N
583,69,T,F,F,F,T,F,F,Y
584,9,T,F,F,F,F,T,F,N
586,2,T,F,F,F,F,F,T,N
587,5,T,F,F,F,F,T,F,N
588,104,T,F,F,F,T,F,F,Y
607,10,T,F,F,F,T,F,F,Y
608,1,T,F,F,F,F,F,T,N
609,8,T,F,F,F,T,F,F,Y
616,4,T,F,F,F,F,T,F,N
620,112,T,F,F,F,T,F,F,Y
622,54,T,F,F,F,T,F,F,Y
623,8,T,F,F,F,F,T,F,N
624,15,T,F,F,F,F,T,F,N
625,23,T,F,F,F,T,F,F,Y
628,4,T,F,F,F,F,T,F,N
629,11,T,F,F,F,F,F,T,N
631,0,T,F,F,F,F,F,T,N
632,1,T,F,F,F,F,T,F,N
633,9,T,F,F,F,T,F,F,Y
634,2,T,F,F,F,F,F,T,N
635,13,T,F,F,F,T,F,F,Y
636,5,T,F,F,F,F,F,T,N
637,169,T,F,F,F,F,F,T,N
638,6,T,F,F,F,F,F,T,N
639,7,T,F,F,F,F,F,T,N
640,1,T,F,F,F,F,T,F,N
644,7,T,F,F,F,T,F,F,Y
646,1,T,F,F,F,F,F,T,N
647,40,T,F,F,F,T,F,F,Y
649,18,T,F,F,F,F,T,F,N
650,0,T,F,F,F,F,F,T,N
651,2,T,F,F,F,F,F,T,N
653,15,T,F,F,F,F,F,T,N
654,28,T,F,F,F,T,F,F,Y
656,31,T,F,F,F,F,T,F,N
657,0,T,F,F,F,F,F,T,N
659,15,T,F,F,F,F,T,F,N
663,4,T,F,F,F,T,F,F,Y
664,5,T,F,F,F,F,T,F,N
665,12,T,F,F,F,T,F,F,Y
666,18,T,F,F,F,F,T,F,N
668,8,T,F,F,F,F,F,T,N
670,16,T,F,F,F,T,F,F,Y
673,2,T,F,F,F,F,T,F,N
675,0,T,F,F,F,F,F,T,N
678,1,T,F,F,F,F,F,T,N
679,29,T,F,F,F,T,F,F,Y
680,3,T,F,F,F,F,F,T,N
681,5,T,F,F,F,F,T,F,N
682,2,T,F,F,F,F,F,T,N
683,4,T,F,F,F,F,F,T,N
684,53,T,F,F,F,T,F,F,Y
686,1,T,F,F,F,F,F,T,N
688,3,T,F,F,F,F,F,T,N
689,4,T,F,F,F,F,F,T,N
690,1,T,F,F,F,F,F,T,N
691,1,T,F,F,F,F,F,T,N
692,2,T,F,F,F,F,F,T,N
693,1,T,F,F,F,T,F,F,Y
694,6,T,F,F,F,F,F,T,N
696,7,T,F,F,F,F,F,T,N
697,9,T,F,F,F,F,F,T,N
701,2,T,F,F,F,F,F,T,N
702,88,T,F,F,F,T,F,F,Y
703,2,T,F,F,F,F,T,F,N
704,22,T,F,F,F,T,F,F,Y
705,9,T,F,F,F,F,T,F,N
706,81,T,F,F,F,T,F,F,Y
708,10,T,F,F,F,F,T,F,N
709,1,T,F,F,F,F,F,T,N
710,47,T,F,F,F,T,F,F,Y
711,14,T,F,F,F,F,F,T,N
712,1,T,F,F,F,F,F,T,N
714,4,T,F,F,F,F,F,T,N
715,29,T,F,F,F,T,F,F,Y
717,32,T,F,F,F,F,T,F,N
718,18,T,F,F,F,F,T,F,N
719,12,T,F,F,F,T,F,F,Y
720,47,T,F,F,F,T,F,F,Y
721,9,T,F,F,F,F,F,T,N
722,2,T,F,F,F,F,F,T,N
723,3,T,F,F,F,F,T,F,N
724,26,T,F,F,F,T,F,F,Y
725,3,T,F,F,F,F,F,T,N
726,31,T,F,F,F,T,F,F,Y
727,26,T,F,F,F,F,T,F,N
729,8,T,F,F,F,F,F,T,N
731,9,T,F,F,F,F,F,T,N
732,13,T,F,F,F,F,T,F,N
733,19,T,F,F,F,F,T,F,N
734,2,T,F,F,F,F,F,T,N
736,1,T,F,F,F,F,F,T,N
740,4,T,F,F,F,F,F,T,N
741,19,T,F,F,F,T,F,F,Y
742,8,T,F,F,F,F,F,T,N
743,1,T,F,F,F,F,F,T,N
744,2,T,F,F,F,F,F,T,N
745,15,T,F,F,F,T,F,F,Y
746,1,T,F,F,F,F,F,T,N
748,24,T,F,F,F,F,F,T,N
749,9,T,F,F,F,F,F,T,N
753,1,T,F,F,F,F,F,T,N
755,9,T,F,F,F,F,F,T,N
756,2,T,F,F,F,F,F,T,N
757,7,T,F,F,F,F,F,T,N
759,0,T,F,F,F,F,F,T,N
760,6,T,F,F,F,F,F,T,N
761,4,T,F,F,F,F,T,F,N
762,6,T,F,F,F,F,F,T,N
768,16,T,F,F,F,F,F,T,N
769,6,T,F,F,F,F,F,T,N
770,2,T,F,F,F,F,F,T,N
771,18,T,F,F,F,F,F,T,N
772,10,T,F,F,F,F,F,T,N
773,0,T,F,F,F,F,F,T,N
774,45,T,F,F,F,T,F,F,Y
776,27,T,F,F,F,F,T,F,N
777,10,T,F,F,F,F,F,T,N
778,7,T,F,F,F,F,F,T,N
779,0,T,F,F,F,F,F,T,N
782,1,T,F,F,F,F,F,T,N
783,1,T,F,F,F,F,F,T,N
786,11,T,F,F,F,T,F,F,Y
787,5,T,F,F,F,F,T,F,N
788,1,T,F,F,F,F,F,T,N
789,9,T,F,F,F,F,T,F,N
790,1,T,F,F,F,F,F,T,N
791,50,T,F,F,F,T,F,F,Y
792,8,T,F,F,F,F,T,F,N
793,8,T,F,F,F,T,F,F,Y
794,7,T,F,F,F,F,T,F,N
795,2,T,F,F,F,F,F,T,N
796,0,T,F,F,F,F,F,T,N
798,1,T,F,F,F,F,F,T,N
799,9,T,F,F,F,F,F,T,N
801,50,T,F,F,F,T,F,F,Y
802,5,T,F,F,F,F,T,F,N
803,11,T,F,F,F,F,T,F,N
804,8,T,F,F,F,F,F,T,N
805,0,T,F,F,F,F,F,T,N
806,8,T,F,F,F,F,F,T,N
809,1,T,F,F,F,F,F,T,N
812,74,T,F,F,F,F,F,T,N
813,29,T,F,F,F,F,F,T,N
816,17,T,F,F,F,T,F,F,Y
817,8,T,F,F,F,F,T,F,N
818,24,T,F,F,F,T,F,F,Y
819,21,T,F,F,F,T,F,F,Y
820,2,T,F,F,F,F,F,T,N
821,3,T,F,F,F,F,F,T,N
822,49,T,F,F,F,T,F,F,Y
823,1,T,F,F,F,F,F,T,N
824,4,T,F,F,F,F,F,T,N
825,4,T,F,F,F,F,F,T,N
826,2,T,F,F,F,F,F,T,N
827,17,T,F,F,F,F,F,T,N
835,7,T,F,F,F,F,T,F,N
837,23,T,F,F,F,F,T,F,N
838,10,T,F,F,F,F,T,F,N
839,12,T,F,F,F,T,F,F,Y
841,7,T,F,F,F,F,F,T,N
842,90,T,F,F,F,T,F,F,Y
844,1,T,F,F,F,F,F,T,N
845,4,T,F,F,F,F,T,F,N
846,0,T,F,F,F,F,T,F,N
847,1,T,F,F,F,T,F,F,Y
848,3,T,F,F,F,F,T,F,N
850,5,T,F,F,F,F,F,T,N
851,16,T,F,F,F,T,F,F,Y
853,238,T,F,F,F,T,F,F,Y
856,53,T,F,F,F,T,F,F,Y
857,2,T,F,F,F,F,T,F,N
858,20,T,F,F,F,T,F,F,Y
859,4,T,F,F,F,F,T,F,N
860,8,T,F,F,F,F,T,F,N
861,9,T,F,F,F,F,T,F,N
862,1,T,F,F,F,F,T,F,N
863,44,T,F,F,F,T,F,F,Y
864,0,T,F,F,F,F,F,T,N
865,10,T,F,F,F,F,T,F,N
866,9,T,F,F,F,F,T,F,N
867,15,T,F,F,F,F,T,F,N
868,1,T,F,F,F,F,F,T,N
869,0,T,F,F,F,F,F,T,N
871,0,T,F,F,F,F,F,T,N
872,0,T,F,F,F,F,F,T,N
873,0,T,F,F,F,F,F,T,N
875,20,T,F,F,F,T,F,F,Y
876,27,T,F,F,F,T,F,F,Y
877,2,T,F,F,F,F,T,F,N
878,1,T,F,F,F,F,T,F,N
879,1,T,F,F,F,F,F,T,N
880,13,T,F,F,F,F,T,F,N
882,1,T,F,F,F,F,F,T,N
883,0,T,F,F,F,F,F,T,N
884,0,T,F,F,F,F,F,T,N
885,1,T,F,F,F,F,F,T,N
887,0,T,F,F,F,F,F,T,N
888,0,T,F,F,F,F,F,T,N
892,2,T,F,F,F,F,F,T,N
894,11,T,F,F,F,F,T,F,N
895,15,T,F,F,F,T,F,F,Y
896,3,T,F,F,F,F,T,F,N
897,132,T,F,F,F,T,F,F,Y
898,21,T,F,F,F,F,T,F,N
899,42,T,F,F,F,F,T,F,N
900,24,T,F,F,F,T,F,F,Y
901,13,T,F,F,F,F,T,F,N
902,20,T,F,F,F,F,F,T,N
905,68,T,F,F,F,T,F,F,Y
906,11,T,F,F,F,F,T,F,N
907,13,T,F,F,F,F,T,F,N
908,58,T,F,F,F,F,F,T,N
909,8,T,F,F,F,F,F,T,N
910,24,T,F,F,F,T,F,F,Y
912,2,T,F,F,F,F,F,T,N
913,1,T,F,F,F,F,F,T,N
914,2,T,F,F,F,F,F,T,N
915,2,T,F,F,F,F,F,T,N
916,5,T,F,F,F,F,F,T,N
917,29,T,F,F,F,F,T,F,N
918,174,T,F,F,F,T,F,F,Y
919,1,T,F,F,F,F,F,T,N
920,59,T,F,F,F,T,F,F,Y
921,1,T,F,F,F,F,F,T,N
922,72,T,F,F,F,T,F,F,Y
923,38,T,F,F,F,T,F,F,Y
924,4,T,F,F,F,F,T,F,N
925,166,T,F,F,F,T,F,F,Y
926,45,T,F,F,F,T,F,F,Y
927,62,T,F,F,F,T,F,F,Y
928,0,T,F,F,F,F,T,F,N
929,11,T,F,F,F,T,F,F,Y
931,14,T,F,F,F,T,F,F,Y
932,6,T,F,F,F,F,T,F,N
933,15,T,F,F,F,T,F,F,Y
934,14,T,F,F,F,F,T,F,N
935,5,T,F,F,F,F,F,T,N
936,27,T,F,F,F,T,F,F,Y
937,14,T,F,F,F,F,T,F,N
938,15,T,F,F,F,F,F,T,N
939,2,T,F,F,F,F,T,F,N
940,86,T,F,F,F,T,F,F,Y
941,1,T,F,F,F,T,F,F,Y
942,15,T,F,F,F,T,F,F,Y
943,5,T,F,F,F,T,F,F,Y
944,8,T,F,F,F,T,F,F,Y
946,1,T,F,F,F,F,F,T,N
947,42,T,F,F,F,F,T,F,N
948,12,T,F,F,F,F,T,F,N
949,8,T,F,F,F,F,T,F,N
951,0,T,F,F,F,F,T,F,N
952,28,T,F,F,F,F,T,F,N
953,0,T,F,F,F,F,T,F,N
954,0,T,F,F,F,F,T,F,N
956,0,T,F,F,F,F,T,F,N
957,98,T,F,F,F,T,F,F,Y
958,43,T,F,F,F,T,F,F,Y
959,22,T,F,F,F,T,F,F,Y
961,11,T,F,F,F,T,F,F,Y
962,73,T,F,F,F,T,F,F,Y
963,34,T,F,F,F,T,F,F,Y
964,22,T,F,F,F,T,F,F,Y
966,8,T,F,F,F,T,F,F,Y
967,19,T,F,F,F,F,T,F,N
968,2,T,F,F,F,F,T,F,N
969,0,T,F,F,F,F,T,F,N
971,0,T,F,F,F,F,T,F,N
972,43,T,F,F,F,F,T,F,N
973,2,T,F,F,F,F,T,F,N
974,1,T,F,F,F,F,T,F,N
975,0,T,F,F,F,F,T,F,N
977,108,T,F,F,F,T,F,F,Y
978,55,T,F,F,F,T,F,F,Y
979,23,T,F,F,F,T,F,F,Y
981,4,T,F,F,F,T,F,F,Y
982,62,T,F,F,F,F,T,F,N
983,7,T,F,F,F,F,T,F,N
984,0,T,F,F,F,F,T,F,N
986,0,T,F,F,F,F,T,F,N
987,95,T,F,F,F,T,F,F,Y
988,25,T,F,F,F,T,F,F,Y
989,20,T,F,F,F,T,F,F,Y
991,6,T,F,F,F,T,F,F,Y
992,5,T,F,F,F,F,F,T,N
993,0,T,F,F,F,F,F,T,N
994,1,T,F,F,F,F,F,T,N
995,1,T,F,F,F,F,F,T,N
996,2,T,F,F,F,F,F,T,N
997,2,T,F,F,F,F,F,T,N
998,0,T,F,F,F,F,F,T,N
999,2,T,F,F,F,F,F,T,N
1001,8,T,F,F,F,F,F,T,N
1002,5,T,F,F,F,F,F,T,N
1003,2,T,F,F,F,F,F,T,N
1004,179,T,F,F,F,T,F,F,Y
1006,4,T,F,F,F,F,F,T,N
1007,3,T,F,F,F,T,F,F,Y
1008,0,T,F,F,F,F,T,F,N
1009,0,T,F,F,F,F,T,F,N
1010,3,T,F,F,F,T,F,F,Y
1011,4,T,F,F,F,T,F,F,Y
1012,0,T,F,F,F,F,T,F,N
1013,0,T,F,F,F,F,T,F,N
1014,2,T,F,F,F,T,F,F,Y
1015,0,T,F,F,F,F,T,F,N
1016,3,T,F,F,F,T,F,F,Y
1017,1,T,F,F,F,F,F,T,N
1018,1,T,F,F,F,F,F,T,N
1019,1,T,F,F,F,F,F,T,N
1020,1,T,F,F,F,F,F,T,N
1021,7,T,F,F,F,F,F,T,N
1022,27,T,F,F,F,F,F,T,N
1023,39,T,F,F,F,F,F,T,N
1024,5,T,F,F,F,F,F,T,N
1025,6,T,F,F,F,F,T,F,N
1026,38,T,F,F,F,T,F,F,Y
1027,29,T,F,F,F,F,T,F,N
1028,11,T,F,F,F,F,F,T,N
1029,2,T,F,F,F,F,T,F,N
1030,98,T,F,F,F,T,F,F,Y
1031,2,T,F,F,F,F,T,F,N
1032,4,T,F,F,F,F,T,F,N
1033,1,T,F,F,F,F,F,T,N
1034,29,T,F,F,F,T,F,F,Y
1035,3,T,F,F,F,F,F,T,N
1036,12,T,F,F,F,F,T,F,N
1037,11,T,F,F,F,F,T,F,N
1038,4,T,F,F,F,F,T,F,N
1039,60,T,F,F,F,T,F,F,Y
1040,39,T,F,F,F,T,F,F,Y
1041,91,T,F,F,F,T,F,F,Y
1042,19,T,F,F,F,T,F,F,Y
1043,16,T,F,F,F,F,T,F,N
1044,49,T,F,F,F,T,F,F,Y
1045,1,T,F,F,F,F,F,T,N
1047,10,T,F,F,F,F,T,F,N
1048,60,T,F,F,F,F,F,T,N
1049,6,T,F,F,F,F,F,T,N
1050,46,T,F,F,F,F,F,T,N
1051,20,T,F,F,F,F,T,F,N
1052,11,T,F,F,F,F,T,F,N
1053,24,T,F,F,F,F,F,T,N
1054,7,T,F,F,F,F,F,T,N
1055,7,T,F,F,F,F,F,T,N
1056,4,T,F,F,F,F,T,F,N
1057,4,T,F,F,F,F,F,T,N
1058,9,T,F,F,F,F,F,T,N
1059,5,T,F,F,F,F,F,T,N
1060,1,T,F,F,F,F,F,T,N
1061,3,T,F,F,F,F,T,F,N
1062,1,T,F,F,F,F,F,T,N
